Province/territory,2019,2020,2021,2022,2023
Newfoundland and Labrador,527643.0,526884.0,527056.0,531583.0,538605.0
Prince Edward Island,155792.0,159193.0,162133.0,167188.0,173787.0
Nova Scotia,975799.0,989168.0,999908.0,1025445.0,1058694.0
New Brunswick,777387.0,783432.0,790802.0,809568.0,834691.0
Quebec,8483186.0,8551095.0,8572020.0,8672185.0,8874683.0
Ontario,14573565.0,14761811.0,14842488.0,15145006.0,15608369.0
Manitoba,1370033.0,1380132.0,1391924.0,1413409.0,1454902.0
Saskatchewan,1164223.0,1167386.0,1167711.0,1178422.0,1209107.0
Alberta,4355377.0,4407495.0,4431531.0,4510891.0,4695290.0
British Columbia,5111022.0,5176101.0,5226665.0,5356284.0,5519013.0
Yukon,41187.0,41958.0,42961.0,43905.0,44975.0
Northwest Territories,44442.0,44504.0,44579.0,44685.0,44972.0
Nunavut,38839.0,39479.0,40086.0,40485.0,40673.0
